Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,MRQ,OVERQ,16 MRQ,"a. 1
1Q","a. 2
1Q","a. 3
1Q","a. 4
1Q","a. 5
1Q","a. 6
1Q","a. 7
1Q","a. 8
1Q","a. 9
1Q","a.10
1Q","11 M*
2Q","11 MR
2Q",Total,Nett
24,"BRUODBIDNESN, , NDICAKNIEL",679,,(3.0),6.0,22.0,5.0,11.0,9.0,8.0,20.0,7.0,26.0,10.0,21.0,13.0,27.0,25.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,242,210
24,SAUNDERS THOMAS,4368,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,3.0,1.0,4.0,44.0,44.0,44.0,2.0,18.0,12.0,-,-,174,130
25,SAMANTHA COSTIN,4295,AUS,21.0,21.0,18.0,26.0,20.0,23.0,26.0,22.0,24.0,22.0,23.0,23.0,26.0,21.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,349,264
25,ZOHAR HARUVI,5294,ISR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25
25,GAL ZUKERMAN,1601,ISR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25
25,"HABERL LUKAS, FRANK TANJA",1764,AUT,,,,,,20.0,21.0,15.0,23.0,24.0,19.0,22.0,23.0,21.0,9.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,362,329
25,GASPARD CARFANTAN,1614,,26.0,27.0,(32.0),26.0,(41.0),28.0,16.0,26.0,16.0,7.0,(3.0),13.0,19.0,11.0,13.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,353,241
25,"FPEARUGL,U SMOAXN, JACK",1513,,10.0,19.0,13.0,(30.0),3.0,14.0,3.0,23.0,25.0,20.0,23.0,5.0,17.0,12.0,24.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,241,211
25,"OLIVIA PRICE, EVIE HASELDINE",3813,AUS,13.0,2.0,11.0,14.0,5.0,(20.0),20.0,13.0,9.0,5.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119,99
25,"LE CLECH HUGO, COLOMBE JULIA",2716,,11.0,8.0,5.0,7.0,21.0,19.0,20.0,21.0,(22.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,134,112
25,ERDI MARIA,1323,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.0,(66.0),25.0,4.0,30.0,8.0,36.0,17.0,66.0,20.0,-,-,281,215
25,MCAULLAY ETHAN,3398,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0,24.0,20.0,15.0,7.0,1.0,35.0,26.0,15.0,25.0,-,-,172,137
26,"PEYRE PEYRE, MANON STAMMINGER DE MANON STAMMINGER DE",3986,,10.0,6.0,7.0,17.0,7.0,14.0,7.0,14.0,10.0,15.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119,102
26,LINDA OPRANDI,2820,ITA,28.0,27.0,24.0,20.0,25.0,28.0,27.0,29.0,29.0,23.0,25.0,17.0,25.0,23.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,363,277
26,PUJOL BAJO CRISTINA,4073,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.0,37.0,37.0,(50.0),8.0,14.0,29.0,24.0,22.0,18.0,-,-,265,215
26,JANE TAYLOR,2128,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.0,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26
26,MARIO CALBUCCI,3166,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.0,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26
26,"JONES EMMA, PUTTMAN MAX",2307,AUS,23.0,26.0,25.0,23.0,25.0,24.0,25.0,26.0,27.0,23.0,26.0,25.0,27.0,(28.0),24.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,377,349
26,ALEXANDRE COUSIN,135,,(5.0),(46.0),19.0,16.0,(45.0),23.0,30.0,31.0,26.0,31.0,7.0,9.0,11.0,20.0,7.0,25.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,403,255
26,BENGTSON EMIL,503,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0,19.0,3.0,9.0,10.0,11.0,29.0,36.0,27.0,30.0,-,-,178,142
26,TAVELLA MARIA BELA(C)N RENNA FRANCISCO,4701,,16.0,24.0,15.0,19.0,8.0,2.0,21.0,(25.0),18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148,123
26,"TGARYULMOMRE, TCTH,R IJSAMES",4728,,9.0,7.0,16.0,3.0,10.0,17.0,23.0,17.0,12.0,24.0,24.0,(3.0),26.0,19.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,243,212
27,"TAKAYAMA DAICHI, MORITA FUYUKA",4666,,4.0,11.0,(27.0),20.0,20.0,7.0,2.0,3.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,70
27,VADNAI BENJAMIN,4951,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.0,13.0,4.0,14.0,11.0,5.0,34.0,18.0,30.0,31.0,-,-,179,145
27,ELIJAH LIEFTING,1248,,27.0,(36.0),(47.0),20.0,20.0,31.0,24.0,32.0,31.0,(40.0),13.0,5.0,13.0,36.0,27.0,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,423,300
27,"MISAKI TANAKA, SERA NAGAMATSU",3516,JPN,18.0,17.0,2.0,9.0,11.0,8.0,13.0,11.0,13.0,8.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121,103
27,MUNCH ANNA,3571,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(66.0),13.0,39.0,10.0,56.0,5.0,5.0,66.0,3.0,19.0,-,-,282,216
27,ALEJANDRO CLIMENT HERNI,88,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,27,27
27,LYSA CAVAL,2973,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,27,27
27,"SEGURA ISET, FERNANDEZ FUERTES MARCOS",4431,ESP,20.0,25.0,26.0,19.0,23.0,27.0,,,,22.0,20.0,26.0,29.0,25.0,22.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,383,350
27,BRIANNA ORAMS,652,,27.0,28.0,27.0,28.0,30.0,30.0,29.0,25.0,25.0,25.0,25.0,17.0,20.0,17.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,386,293
27,"AGNAEMSBSAI,,  EMDAORACRODO",31,,5.0,16.0,16.0,14.0,9.0,16.0,5.0,10.0,19.0,14.0,22.0,12.0,27.0,(28.0),27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240,212
28,NINA BIVAUD,3727,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.0,-,-,-,-,-,-,-,-,-,-,-,-,-,28,28
28,AINSWORTH ELYSE,55,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.0,39.0,21.0,20.0,(51.0),20.0,24.0,7.0,34.0,24.0,-,-,271,220
28,"CHO SUNGMIN, KIM JIA",862,,14.0,(18.0),13.0,16.0,12.0,12.0,3.0,11.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,82
28,"MEGGENDORFER,JSAPKROABNGER, ANDREAS",3410,,4.0,20.0,9.0,12.0,14.0,17.0,4.0,4.0,1.0,31.0,(31.0),31.0,31.0,31.0,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,271,240
28,ROMAIN GHIO,4204,,(31.0),23.0,29.0,19.0,29.0,19.0,19.0,24.0,(44.0),30.0,15.0,(3.0),21.0,19.0,23.0,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,415,301
28,KARIM FILLAH,2478,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,5.0,21.0,9.0,20.0,28.0,21.0,15.0,13.0,34.0,-,-,179,145
28,BLAZEJ OZOG,593,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.0,-,-,-,-,-,-,-,-,-,-,-,-,-,28,28
28,"ASCHIERI ANDREA, CAMUSSO ANJA",400,SUI,22.0,24.0,21.0,22.0,,28.0,26.0,27.0,26.0,25.0,28.0,28.0,24.0,29.0,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,396,363
28,ONISHI FUJIKO,3824,,26.0,25.0,25.0,22.0,23.0,27.0,30.0,28.0,27.0,27.0,27.0,25.0,27.0,19.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,391,300
28,"HANNAH BRISTOW, ANNA CARPENTER",1790,,14.0,14.0,7.0,17.0,9.0,14.0,10.0,10.0,4.0,13.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122,105
29,"LOFFLER THERESA, HOERR CHRISTOPHER",2856,,13.0,(22.0),12.0,13.0,18.0,12.0,1.0,4.0,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116,94
29,ANDERSSOHN HANNAH CRIS,224,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0,17.0,15.0,41.0,3.0,32.0,34.0,45.0,37.0,(49.0),-,-,277,228
29,DERIN ATAKAN,1100,TUR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.0,-,-,-,-,-,-,-,-,-,-,-,-,-,29,29
29,MARQUES EDUARDO,3207,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0,14.0,32.0,2.0,10.0,19.0,17.0,41.0,39.0,11.0,-,-,190,149
29,NOAH RUNCIMAN,3745,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.0,-,-,-,-,-,-,-,-,-,-,-,-,-,29,29
29,"YADAV EKTA, BHAIYA KARTHIK",5191,IND,,28.0,27.0,25.0,27.0,26.0,,,,,,,26.0,26.0,27.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,443,410
29,"LUCY WILMOT, ERIKA RYC.REINEKE",2930,,9.0,16.0,13.0,16.0,16.0,17.0,15.0,6.0,11.0,4.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127,110
29,MATTEO BENZ,3317,,17.0,21.0,25.0,22.0,26.0,(5.0),(5.0),(5.0),17.0,24.0,7.0,31.0,17.0,5.0,25.0,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,477,306
29,MANON BERGER,3053,SUI,19.0,30.0,21.0,(33.0),(33.0),22.0,21.0,30.0,28.0,31.0,29.0,19.0,28.0,27.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,404,305
29,"JSNOIAAELKLSISKMEONV,- IMVAERRKUSSEN,",2354,,10.0,23.0,11.0,20.0,15.0,11.0,12.0,14.0,17.0,28.0,26.0,24.0,11.0,22.0,(29.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,273,244
30,"NADINE BOEHM, LENA WEISSKICHEL",3590,,9.0,9.0,12.0,15.0,15.0,9.0,16.0,15.0,12.0,3.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,113
30,GRAE MORRIS,1712,AUS,25.0,11.0,15.0,15.0,12.0,(5.0),(5.0),(5.0),5.0,5.0,23.0,17.0,13.0,25.0,23.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,477,306
30,VAN LAER WANNES,4986,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.0,14.0,3.0,16.0,13.0,10.0,23.0,31.0,35.0,22.0,-,-,189,154
30,ALBANO CAROLINA,72,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.0,46.0,24.0,33.0,24.0,16.0,(66.0),14.0,23.0,23.0,-,-,296,230
30,FARRAH HALL,1413,,29.0,29.0,29.0,24.0,28.0,29.0,25.0,27.0,30.0,28.0,31.0,21.0,29.0,27.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,419,325
30,"NORDSTROM LOUISA, BORNARTH TREVOR",3760,,4.0,21.0,14.0,14.0,17.0,14.0,(26.0),2.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121,95
30,JONATHAN WESTON JOSEPH,2306,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.0,-,-,-,-,-,-,-,-,-,-,-,-,-,30,30
30,DOMINIKA SAWICKA,1161,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.0,-,-,-,-,-,-,-,-,-,-,-,-,-,30,30
30,"OLIVER GDUUIRLCFAONY,L JEO, HSNENAYFRA",3805,,15.0,13.0,15.0,13.0,23.0,10.0,18.0,8.0,23.0,29.0,27.0,27.0,(29.0),24.0,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,292,263
30,"TINDALE DANIEL, HEMMING HEBE",4828,GBR,,,,26.0,,30.0,27.0,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,479,446
31,"CZAPSKA CZAPSKA, GABRIELA GABRIELA",997,,(20.0),20.0,8.0,13.0,18.0,16.0,20.0,9.0,12.0,2.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,127
31,SEBASTIAN SCHARER,4416,SUI,21.0,26.0,28.0,23.0,30.0,(5.0),(5.0),25.0,22.0,14.0,27.0,25.0,23.0,(35.0),17.0,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,457,308
31,LULIC SANDRA,2965,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.0,11.0,14.0,14.0,32.0,46.0,16.0,40.0,(53.0),38.0,-,-,293,240
31,CARDONA JOAN,721,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0,12.0,7.0,13.0,12.0,10.0,40.0,37.0,37.0,24.0,-,-,195,155
31,"SSTCIHNEGEEL,L EL,I NMOAVXIMILIAN",4568,,20.0,19.0,10.0,(26.0),25.0,8.0,15.0,12.0,15.0,1.0,5.0,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,175,149
31,MIKI YAMABE,3483,JPN,30.0,31.0,30.0,27.0,24.0,31.0,31.0,31.0,31.0,30.0,29.0,27.0,31.0,29.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,445,350
31,EJDER GINYOL,1218,TUR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-,31,31
31,"HIRSCH ARTO, ORSOLINI ELETTRA",1905,ITA,,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,495,462
31,JULIA MORKOWSKA,2393,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-,31,31
31,"KIM CHANGJU, LEE JIHEE",2564,,(21.0),18.0,18.0,11.0,14.0,18.0,6.0,7.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117,96
31,"MARTINSEN NICHOLAS FADLE, MORTENSEN MARTINE STELLER",3254,NOR,,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,495,462
32,"BGAACUOTRN,E YS,A HMENRY",560,,14.0,15.0,12.0,29.0,23.0,22.0,20.0,(3.0),5.0,10.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,184,152
32,"BALLESTER BOVER NEUS, DAVILA MATEU",439,,15.0,13.0,20.0,16.0,6.0,20.0,4.0,6.0,(26.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126,100
32,ALEXIS MATHIS,142,,(37.0),(41.0),30.0,24.0,25.0,25.0,25.0,29.0,25.0,25.0,21.0,23.0,15.0,28.0,(3.0),19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,431,314
32,DONERTAS NAZLI CAGLA,1167,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.0,22.0,30.0,30.0,21.0,21.0,(66.0),47.0,15.0,30.0,-,-,306,240
32,UUSITALO VALTTERI,4947,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.0,8.0,21.0,18.0,8.0,6.0,32.0,30.0,25.0,33.0,-,-,188,155
32,ZOI BOUTANG,5295,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.0,-,-,-,-,-,-,-,-,-,-,-,-,-,32,32
32,"MARINA GARAU, CARLOTA GARCIA",3159,,15.0,9.0,16.0,16.0,14.0,12.0,17.0,14.0,4.0,20.0,(20.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,157,137
32,JAKUB JURKOWSKI,2084,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.0,-,-,-,-,-,-,-,-,-,-,-,-,-,32,32
32,EMMA WILSON,1304,GBR,(33.0),(33.0),(33.0),33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,495,396
33,CATTAROZZI FEDERICA,790,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.0,45.0,18.0,45.0,2.0,43.0,22.0,34.0,(51.0),9.0,-,-,305,254
33,"CINAR DENIZ, ASLAN SIMAY",901,,7.0,17.0,14.0,(20.0),16.0,14.0,9.0,12.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,100
33,"SAAYLKSAIW, OARKITRAH, RUSSEL",4268,,20.0,21.0,17.0,25.0,26.0,6.0,6.0,2.0,(3.0),8.0,23.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188,156
33,DE SMET WILLIAM,1072,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,34.0,11.0,5.0,4.0,44.0,39.0,25.0,16.0,16.0,-,-,200,156
33,MALO QUERNEC,3038,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.0,-,-,-,-,-,-,-,-,-,-,-,-,-,33,33
33,CHLOE REVIL,861,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.0,-,-,-,-,-,-,-,-,-,-,-,-,-,33,33
33,CHANEUI KIM,810,,29.0,25.0,31.0,(39.0),23.0,30.0,(5.0),33.0,(39.0),23.0,15.0,23.0,15.0,24.0,19.0,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,452,317
33,"HELEN PAIS, HELEN KALEV AUSMAN",1853,,(20.0),15.0,10.0,14.0,16.0,13.0,14.0,17.0,16.0,12.0,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,144
34,JAN VI STER,2122,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.0,-,-,-,-,-,-,-,-,-,-,-,-,-,34,34
34,"REINO CACHO PATRICIA, GARCIA PORTELA PABLO",4123,,16.0,16.0,(17.0),17.0,7.0,11.0,8.0,14.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,101
34,DENIZ SORGUI DERIN,1096,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.0,-,-,-,-,-,-,-,-,-,-,-,-,-,34,34
34,"SRICCHHANREERR,,  JNOISLOHUA",4567,,15.0,25.0,11.0,(27.0),6.0,18.0,21.0,15.0,18.0,12.0,10.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,183,156
34,HOPKINS AOIFE,1915,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.0,4.0,(66.0),44.0,54.0,27.0,41.0,8.0,24.0,31.0,-,-,327,261
34,PIOTR MYSZKA,4035,,38.0,29.0,(41.0),(41.0),33.0,33.0,22.0,27.0,23.0,(39.0),23.0,15.0,19.0,22.0,31.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,451,330
34,"MOLLY HIGHFIELD, SANDY CHOI",3537,,13.0,11.0,18.0,13.0,17.0,11.0,15.0,16.0,19.0,(20.0),15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168,148
34,LITTLEWOOD ZAC,2844,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,13.0,22.0,6.0,7.0,9.0,27.0,35.0,44.0,37.0,-,-,201,157
35,BOITE ALEXANDRE,609,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,17.0,15.0,2.0,21.0,36.0,39.0,10.0,29.0,-,-,197,158
35,ANTHONY PICARD,332,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,35,35
35,GOLEBIOWSKA WIKTORIA,1700,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.0,14.0,(66.0),46.0,26.0,38.0,28.0,36.0,28.0,5.0,-,-,330,264
35,RAFEEK KIKABHOY,4090,,(36.0),30.0,35.0,33.0,22.0,(39.0),29.0,35.0,33.0,(37.0),15.0,15.0,17.0,29.0,25.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,445,333
35,"KGRLOUSGIOEWC,S KMIA,C IAEDJAM",2554,,14.0,17.0,(3.0),11.0,24.0,11.0,3.0,19.0,6.0,2.0,13.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189,157
35,"JULIA HENRIKSSON, CAROLINE PETTERSON",2390,,(20.0),20.0,9.0,15.0,12.0,15.0,20.0,18.0,15.0,14.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,174,154
35,"AMAR PAOLA, MICHAL ELIOTT",179,,(22.0),20.0,18.0,21.0,5.0,16.0,5.0,17.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130,108
35,MARIA DO SOCORRO VASONCELLO,3116,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,35,35
36,HARRY JOYNER,1814,AUS,(41.0),31.0,34.0,29.0,40.0,29.0,39.0,(45.0),(41.0),11.0,19.0,19.0,33.0,21.0,21.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,468,341
36,"ALICE MOSS, EBBA BERNTSSON",151,,(20.0),20.0,20.0,20.0,20.0,20.0,12.0,17.0,17.0,10.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,184,164
36,KUMANAN NETHRA,2645,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(51.0),42.0,5.0,11.0,45.0,26.0,21.0,39.0,45.0,35.0,-,-,320,269
36,"ETLOIRARS,E SA,R EATLZBERT",1366,,12.0,20.0,15.0,19.0,18.0,14.0,17.0,13.0,13.0,14.0,2.0,(3.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189,157
36,DUKIC MILIVOJ,1181,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,12.0,13.0,10.0,12.0,7.0,38.0,34.0,20.0,32.0,-,-,203,165
36,"LEFORT MARINA, BUNEL JULIEN",2733,,(27.0),12.0,16.0,,13.0,19.0,11.0,9.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,136,109
36,MICHAL WOJCIECHOWSKI,3459,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.0,-,-,-,-,-,-,-,-,-,-,-,-,-,36,36
36,BENYAPA JANTAWAN,526,THA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.0,-,-,-,-,-,-,-,-,-,-,-,-,-,36,36
37,"PHEUTGEURESS, ,J AALMEXEASNDER",3990,,19.0,(27.0),20.0,6.0,17.0,20.0,13.0,11.0,20.0,22.0,4.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189,162
37,CITAK YIGIT YALCIN,903,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,10.0,2.0,20.0,15.0,19.0,24.0,29.0,44.0,40.0,-,-,216,172
37,GUZEL ECEM,1763,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.0,41.0,44.0,21.0,13.0,(66.0),30.0,19.0,33.0,52.0,-,-,340,274
37,KAROLINA LARSSON,2490,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.0,-,-,-,-,-,-,-,-,-,-,-,-,-,37,37
37,"BLANDIN CASSANDRE, BRETAGNE CORENTIN",591,,20.0,(23.0),16.0,18.0,20.0,7.0,10.0,13.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,109
37,"DIANA TUDELA, ADRIANA CRL BARRON",1113,,17.0,18.0,19.0,18.0,(20.0),18.0,17.0,16.0,15.0,17.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188,168
37,VOJTECH KOSKA,5068,CZE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.0,-,-,-,-,-,-,-,-,-,-,-,-,-,37,37
37,ROBERT KUBIN,4172,SVK,32.0,(39.0),(38.0),32.0,31.0,26.0,32.0,30.0,37.0,(44.0),25.0,19.0,23.0,27.0,23.0,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,479,358
38,"HARSHITA TOMAR, SWETA SHERVEGAR",1818,,(20.0),20.0,17.0,20.0,18.0,17.0,20.0,18.0,14.0,16.0,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,180
38,"FLANDORFFER AMELIE, WILLIOT PIERRE",1487,,18.0,15.0,15.0,14.0,16.0,18.0,(26.0),1.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,137,111
38,ONUR CAVIT BIRIZ,3826,TUR,30.0,24.0,(37.0),34.0,(38.0),35.0,23.0,23.0,36.0,(42.0),31.0,25.0,29.0,33.0,19.0,29.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,488,371
